id,prepare,org,security,page,ganglia,web,propertyconfigurator,start,datanode,tab,fileoutputstream,permissions,allow,admin,ssl,file,user,wizard,validation,configuration,method,sun,cluster,fails,add,use,issue,http,nagios,password,options,go,setup,cannot,make,set,service,logutils,native,hive,path,arbitrary,false,yarn,hdfs,vulnerability,propertysetter,wrong,provide,hosts,also,error,remote,check,request,variable,permission,input,registration,state,change,back,enable,name,secure,instead,property,executed,default,selecting,editable,owner,touched,jdk,word,versions,via,garbage,directory,without,fileappender,errors,setting,unchecked,location,attackers,field,deprecated,perform,httpd,version,fields,communication,execute,manager,mechanism,ambari,still,way,turn,buglabel
1233.txt,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1
1441.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1816.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1859.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1934.txt,0,3,3,0,10,7,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,3,4,7,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1
2101.txt,33,19,0,0,0,0,12,1,0,0,5,1,0,0,0,18,0,0,0,2,11,4,0,0,0,1,1,0,0,0,3,2,0,1,1,11,35,6,7,14,0,0,0,0,0,0,6,0,1,0,0,2,1,35,0,2,3,0,0,2,0,0,0,2,0,0,19,1,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,2,0,34,1
2161.txt,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2262.txt,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2270.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,2,1
2337.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
