,best tppx,tpp,best tpp,tppx,baseline
1,0,0,6.930499554,5.898026943,0
2,2.219171762,0,4.831744194,5.682002068,0
3,2.55184865,0,3.757363081,4.860402107,0
4,2.485930204,0,3.104044199,4.217345238,0
5,2.344178677,0.131327793,2.660952568,3.729310751,0.154186323
6,2.19569087,0.23054418,2.338564873,3.349967718,0.249592945
7,2.057649851,0.305301577,2.115557671,3.047029972,0.325010329
8,1.933618546,0.400313765,1.984287858,2.799326181,0.417558938
9,1.823221564,0.460283965,1.86826098,2.592739344,0.475612998
10,1.725010276,0.498366445,1.765545726,2.417576313,0.512162566
