,best wppx,wpp,best wpp,wppx,baseline
1,9.314823151,7.930499554,5.538876534,9.856237411,0
2,7.390399933,5.331744194,5.502427101,7.661107063,0
3,5.999334335,4.090696335,4.740685463,6.179805756,0
4,5.071544647,3.354044199,4.127557755,5.206897736,0
5,4.412670135,2.860952616,3.657480717,4.520952702,0.154186323
6,3.919433832,2.505231619,3.290109396,4.009669304,0.249592945
7,3.535143614,2.258414745,2.995722771,3.612488508,0.325010329
8,3.226425648,2.109287977,2.75443244,3.29410243,0.417558938
9,2.972383499,1.979372025,2.552833796,3.03254056,0.475612998
10,2.759255886,1.86554575,2.381661415,2.813397408,0.512162566
