id,org,locale,support,error,junit,java,test,version,failed,derby,sqlstate,unknown,source,delete,found,rows,server,user,file,alpha,database,trigger,permission,statement,log,security,tests,class,denied,new,table,access,thread,logtofile,run,create,select,c,code,files,connection,read,execute,stored,exception,call,sun,securitymanager,following,row,using,running,set,message,check,mode,privilege,socket,com,fail,filepermission,end,fileoutputstream,information,testdecorator,column,revoke_select_trig,encrypted,data,fails,problem,manager,db,name,need,wshome,method,used,network,authentication,null,encryption,revoke,sql,needs,key,procedure,port,would,failures,drop,jhome,opening,localhost,ant,see,contains,write,also,like,buglabel
1129.txt,4,0,0,15,2,18,13,0,0,13,0,0,0,0,2,0,36,0,0,0,0,0,0,0,2,5,9,2,0,0,0,0,6,0,6,0,0,151,0,0,4,6,0,0,24,0,2,0,0,0,0,0,0,8,0,0,4,8,11,1,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,4,0,0,2,0,0,0,8,0,0,0,0,8,8,0,1,0,0,0,0,1
1156.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,11,0,0,0,0,11,2,2,0,0,0,0,0,84,0,6,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,1,0,2,0,0,0,0,0,11,7,1,0,0,9,0,3,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1
1174.txt,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,1,0,3,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1496.txt,0,0,0,0,2,3,3,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,39,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1521.txt,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
1538.txt,0,11,9,0,0,11,1,12,0,10,1,0,0,3,9,4,0,4,0,11,0,0,0,1,0,0,0,1,0,0,3,0,0,0,3,2,4,53,0,0,0,0,1,0,1,0,1,0,0,5,0,0,1,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,2,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1
1539.txt,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
1541.txt,1,0,1,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,2,3,0,0,0,0,0,0,0,2,0,0,12,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1545.txt,4,0,0,0,0,20,14,0,0,10,0,4,4,0,0,0,0,0,1,0,0,0,4,0,1,9,4,0,1,0,0,6,1,0,0,0,0,76,0,0,1,1,1,0,2,0,1,4,0,0,0,0,0,0,4,0,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1643.txt,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,7,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1729.txt,2,11,9,0,0,18,9,12,2,11,0,0,0,18,9,11,0,4,1,11,0,7,0,4,0,0,3,1,0,0,8,0,0,0,4,7,18,105,0,1,0,0,1,2,0,2,1,0,1,18,0,0,4,0,4,3,0,0,0,6,0,1,0,3,0,0,2,0,0,0,0,0,4,5,0,0,0,3,0,1,0,0,7,9,0,1,7,9,0,0,2,0,0,0,7,0,6,0,0,0,1
1760.txt,0,0,0,1,6,6,11,0,0,27,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,4,2,0,0,2,1,0,0,0,1,0,54,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,12,0,0,0,0,0,0,0,0,5,1,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1
1832.txt,0,30,27,0,0,8,2,0,1,12,0,0,0,0,27,0,0,0,1,0,0,0,4,0,0,0,0,9,4,0,0,4,0,0,0,0,0,55,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,1
1849.txt,0,0,0,28,0,2,2,0,35,6,28,0,0,36,4,12,0,50,1,0,0,10,0,8,0,0,1,0,0,0,0,0,0,0,0,8,34,115,0,0,10,0,0,0,2,8,0,0,0,18,0,0,10,0,8,8,0,0,0,44,0,1,0,0,0,0,10,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,25,40,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,1
1900.txt,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1909.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,29,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,1,4,5,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,1
198.txt,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
2040.txt,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2108.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2254.txt,48,0,0,0,0,50,2,0,5,57,0,0,0,0,0,1,0,3,45,0,5,0,0,11,86,0,0,2,0,1,0,1,14,24,7,0,0,193,1,0,2,14,7,3,1,2,2,0,2,4,2,1,5,0,6,0,0,0,10,9,0,4,0,0,0,0,0,0,9,0,0,6,7,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,1,0,0,0,0,0,3,2,1,0,1,2,1
