id,org,locale,support,error,java,version,failed,test,sqlstate,delete,found,rows,derby,server,junit,alpha,user,file,security,trigger,log,denied,access,tests,c,class,using,permission,read,logtofile,database,select,exception,files,set,mode,check,socket,thread,run,securitymanager,fail,information,sun,following,db,filepermission,encrypted,manager,encryption,end,key,need,port,ant,authentication,drop,sql,revoke,running,problem,needs,fileoutputstream,contains,network,fails,granted,current,jar,like,assert,would,basicdaemon,buglabel
1129.txt,4,0,0,15,18,0,0,13,0,0,2,0,13,36,2,0,0,0,5,0,2,0,0,9,151,2,0,0,6,0,0,0,24,0,0,0,0,8,6,6,0,1,0,2,0,6,0,0,0,0,6,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1156.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,2,0,84,0,1,0,3,0,2,0,0,6,1,0,2,0,0,0,0,1,0,0,0,9,0,11,0,3,2,0,3,0,3,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1
1174.txt,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,4,0,2,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,6,0,0,0,0,4,0,0,0,3,0,0,0,0,1,0,1,0,1
1496.txt,0,0,0,0,3,0,0,3,0,0,0,0,3,0,2,0,2,1,4,0,0,0,0,2,39,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1521.txt,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1538.txt,0,11,9,0,11,12,0,1,1,3,9,4,10,0,0,11,4,0,0,0,0,0,0,0,53,1,0,0,0,0,0,4,1,0,1,0,0,0,0,3,0,0,3,1,0,3,0,0,0,0,1,0,0,10,1,0,0,2,3,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1
1539.txt,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1541.txt,1,0,1,0,1,0,0,11,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,3,12,0,0,1,2,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1545.txt,4,0,0,0,20,0,0,14,0,0,0,0,10,0,0,0,0,1,9,0,1,1,6,4,76,0,0,4,1,0,0,0,2,0,0,0,4,9,1,0,4,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1643.txt,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
