org,locale,support,error,java,version,failed,test,sqlstate,delete,found,rows,derby,server,junit,alpha,user,file,security,source,unknown,trigger,log,denied,statement,access,tests,new,table,c,class,using,connection,permission,read,create,call,logtofile,database,select,row,exception,files,set,mode,check,code,socket,com,thread,run,securitymanager,message,fail,information,revoke_select_trig,sun,following,db,name,filepermission,column,wshome,encrypted,manager,encryption,end,key,need,port,jhome,opening,localhost,ant,authentication,drop,sql,method,revoke,running,jdbc,problem,needs,fileoutputstream,contains,used,network,fails,connect,granted,current,jar,execute,like,assert,would,client,begin,transaction,basicdaemon,buglabel
4,0,0,15,18,0,0,13,0,0,2,0,13,36,2,0,0,0,5,0,0,0,2,0,0,0,9,0,0,151,2,0,4,0,6,0,0,0,0,0,0,24,0,0,0,0,0,8,11,6,6,0,8,1,0,0,2,0,6,0,0,0,0,0,0,0,6,0,0,8,0,8,8,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,10,0,1,0,0,0,0,0,26,6,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,2,0,11,2,84,0,1,0,0,3,0,0,0,2,0,0,0,6,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,9,0,0,0,0,11,0,3,2,0,3,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,6,0,1
1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,3,0,0,3,0,0,0,0,3,0,2,0,2,1,4,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11,9,0,11,12,0,1,1,3,9,4,10,0,0,11,4,0,0,0,0,0,0,0,1,0,0,0,3,53,1,0,0,0,0,2,0,0,0,4,5,1,0,1,0,0,0,0,0,0,3,0,0,0,3,0,1,0,3,3,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,2,0,3,0,3,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,11,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,2,0,3,0,0,12,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,20,0,0,14,0,0,0,0,10,0,0,0,0,1,9,4,4,0,1,1,0,6,4,0,0,76,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0,4,0,9,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
2,11,9,0,18,12,2,9,0,18,9,11,11,0,0,11,4,1,0,0,0,7,0,0,4,0,3,0,8,105,1,0,0,0,0,7,2,0,0,18,18,0,1,4,3,4,0,0,0,0,4,0,0,6,3,2,1,1,4,5,0,0,0,0,0,0,1,1,0,9,0,0,0,7,1,2,9,0,7,0,2,0,0,0,6,3,0,0,1,0,1,7,1,0,0,0,0,0,0,0,1
0,0,0,1,6,0,0,11,0,0,1,0,27,2,6,1,0,0,0,3,0,0,0,0,0,1,4,0,2,54,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,12,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,13,0,0,0,1
0,30,27,0,8,0,1,2,0,0,27,0,12,0,0,0,0,1,0,0,0,0,0,4,0,4,0,0,0,55,9,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,2,0,0,0,1
0,0,0,28,2,0,35,2,28,36,4,12,6,0,0,0,50,1,0,0,0,10,0,0,8,0,1,0,0,115,0,0,10,0,0,8,8,0,0,34,18,2,0,10,8,8,0,0,0,0,0,0,0,44,0,10,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2,40,0,25,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,6,0,8,4,0,1,0,0,1,5,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
48,0,0,0,50,0,5,2,0,0,0,1,57,0,0,0,3,45,0,0,0,0,86,0,11,1,0,1,0,193,2,2,2,0,14,0,2,24,5,0,4,1,0,5,0,6,1,0,10,14,7,0,0,9,0,0,2,2,7,0,0,0,0,0,6,0,4,0,0,2,0,0,0,3,0,0,4,0,0,1,3,0,0,0,1,0,0,0,3,0,0,0,7,2,14,1,6,0,2,12,1
6,0,0,1,10,0,0,22,0,0,1,0,7,1,1,0,0,0,3,0,0,0,1,0,0,0,7,0,0,39,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,6,0,1,1,10,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,4,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,3,1,0,0,14,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
