id,summary,security
12,Add additional transition states    For running a server (daemon)  the current states are: START and STARTED. It would be nice to have transition state: STARTING  and STOPPING.   ,0
46,Preserve cluster id  blueprint name  and blueprint revision in agent local disk    After agent execute commands on behave of the controller  agent should store cluster id  blueprint name and blueprint revision in the local disk to keep track of the current deployment state on the agent.   ,0
92,Agent should retry heartbeat message  if controller did not receive the heartbeat    If the heartbeat was not received correctly by the controller  then it should retry.   ,0
103,Remove agent entities beans from public schema xsd    Agent entities beans are located ambari-client: org.apache.ambari.common.rest.entities.agent. Hence  schema xsd generation for public rest api will include agent entities beans. We should move it to org.apache.ambari.common.rest.agent to exclude agent entities to expose to public.   ,0
192,Check for NN safemode during restarts    There is no checks for safemode when we reconfigure the cluster.   ,0
198,Dependency of templeton on hcat client    hcat client should be installed at the templeton server node.   ,0
199,Remove import of mysql puppet module from manifest.    Remove import of mysql puppet module from manifest because this module is deprecated.   ,0
202,Add check to verify jdk path after install    After the jdk install  we do not validate the path. This causes problems during service start in later stages.   ,0
207,PHP Notice: Undefined variable: manifest in /usr/share/hmc/php/puppet/genmanifest/hostsConfig.php    Undefined variable used.   ,0
208,Support filtering hosts based on discovery status    Api to get hosts should allow filtering out bad hosts   ,0
217,Alert table on the right needs to be tied visually/verbally to the context/content it is displaying    Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service. So Cpation of the table should change indicating the corresponding service name.   ,0
222,Remove the word alert from all the Nagios alerts descriptions.    IT is sort of redundant..   ,0
226,Make the daemon names and other field names consistent    Following names need to be consistent: Hdfs -&gt; HDFS Mapreduce -&gt; MapReduce Zookeeper -&gt; ZooKeeper HADOOP -&gt; Hadoop   ,0
232,Enable LZO should show checkbox instead of text    Currently the enable lzo option shows a text box that needs to be filled with true/false. Changing the UI element to checkbox.   ,0
236,Increase puppet agent timeout.    Puppet agent timeout should be increases as sometimes (possibly due to a bug in ruby) puppet master takes long time to compile and send back the catalog.   ,0
237,Refactor puppet kick loop to easily change retries and timeouts.    Refactor puppet kick loop to easily change retries and timeouts.   ,0
245,Support data cleanup if installation fails.    We need to support data cleanup so that a cluster can be re-installed in case of failures.   ,0
247,Replace index.php with clusters.php    Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well.   ,0
249,Uninstall support from UI    Uninstall/wipeout support from UI.   ,0
252,Remove 'Playground' files from HMC    There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things).   ,0
253,Support uninstall state in mysql modules    Currently  there is no support for uninstall of mysql package.   ,0
255,Rename/Relocate files as appropriate    There's some images in the html/ directory (that should be in images/)  there's .html files whose extension should be changed to .htmli  and such  that would be nice to clean up.   ,0
