word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
org,2954.478304658353,191.41175169998013,0.0
exchange,787.930130599915,15.433749799817985,0.0
message,675.9884985422325,44.5143608604605,0.0
file,594.0865082771828,18.95647263399132,0.0
using,475.9687481657764,20.57833306642398,0.0
route,471.93733250608165,23.695590792489153,0.0
exception,467.7202103348357,15.433749799817985,0.0
endpoint,422.0504791633677,31.160052602322345,27.101960198888932
component,405.26459127022326,26.708616516276297,32.878341085289854
null,401.4165567849946,17.51319134149782,0.0
method,393.50882783591425,11.675460894331879,0.0
header,354.86908530173054,44.5143608604605,0.0
http,348.99567445827887,36.413738801440964,0.0
see,293.1586278273928,10.28916653321199,0.0
like,275.2099792006297,11.675460894331879,0.0
also,271.74904912010436,17.8057443441842,22.357217604838553
error,269.114309960973,20.57833306642398,16.89053205114038
support,267.72099289814537,15.433749799817985,0.0
jms,265.58983849096813,11.675460894331879,0.0
public,249.92471478163068,11.675460894331879,10.534636316493062
messages,229.9191247884703,25.722916333029975,16.89053205114038
would,206.92721230962326,37.91294526798264,7.0230908776620415
void,201.28661742883529,11.675460894331879,0.0
test,197.0117442678177,11.675460894331879,0.0
uri,194.66585929456343,14.21735447549349,9.318240992168569
headers,189.77339763276836,15.433749799817985,4.204692619390966
one,188.9418255489365,15.433749799817985,0.0
issue,185.0668294173951,17.8057443441842,7.0230908776620415
consumer,175.1992733651071,10.28916653321199,0.0
connection,151.37610611217957,11.675460894331879,0.0
handler,145.55394818478803,11.675460894331879,15.571528241741195
files,143.45398651109102,23.695590792489153,4.204692619390966
instrumentationprocessor,137.44434594209272,17.51319134149782,0
processing,135.41732048208394,15.433749799817985,10.534636316493062
helper,132.28824190823377,17.51319134149782,4.204692619390966
server,129.50760103047818,10.28916653321199,4.204692619390966
fails,125.84251417568129,11.675460894331879,4.204692619390966
data,119.16724202423387,11.675460894331879,0.0
last,105.6360795955566,11.675460894331879,12.424321322891425
ftp,104.79884269304739,20.57833306642398,4.204692619390966
template,104.79884269304739,17.51319134149782,7.0230908776620415
producercache,104.24488172722347,35.02638268299564,0
apache,98.97668476565586,17.51319134149782,0.0
delegateprocessor,97.72957661927201,17.51319134149782,0
something,95.24753417392833,11.675460894331879,7.0230908776620415
wrong,92.08377792781708,11.675460894331879,4.204692619390966
copy,90.23738192956108,11.675460894331879,4.204692619390966
false,88.91277664574022,11.675460894331879,4.204692619390966
remove,86.66708510853373,11.675460894331879,9.318240992168569
redeliveryerrorhandler,84.69896640336907,17.51319134149782,0
stop,81.5102109834813,10.28916653321199,11.273593033084301
else,78.95770918836595,17.51319134149782,4.204692619390966
sendprocessor,74.14599445596305,17.51319134149782,0
protected,69.86589512869826,23.350921788663758,0
seda,67.96716158463279,11.675460894331879,0
jetty,67.96716158463279,10.28916653321199,4.204692619390966
static,63.329835511575126,20.57833306642398,4.204692619390966
defaultproducertemplate,63.235176585457125,35.02638268299564,0
custom,58.22157927391522,11.675460894331879,12.976273534784328
provide,54.40771330835159,10.28916653321199,24.84660717369218
means,50.663868409260104,10.28916653321199,0
results,48.36241182964586,11.675460894331879,0
redelivery,47.169140614859735,17.51319134149782,0
receive,45.607135755660266,11.675460894331879,7.0230908776620415
source,44.33088485810259,11.675460894331879,0.0
exists,44.33088485810259,11.675460894331879,0
pass,44.33088485810259,10.28916653321199,4.204692619390966
content,40.43069195559406,11.675460894331879,0
ignores,39.091830647708804,11.675460894331879,0
defaulterrorhandler,39.091830647708804,10.28916653321199,0
consuming,37.99790130694508,11.675460894331879,0
sent,37.99790130694508,10.28916653321199,7.0230908776620415
lets,32.576525539757334,11.675460894331879,0
login,29.72638335930249,15.433749799817985,0
port,22.294787519476866,20.57833306642398,30.22937981438043
token,22.294787519476866,11.675460894331879,0
mockendpoint,21.078392195152375,17.51319134149782,0
expose,21.078392195152375,10.28916653321199,0
randomly,14.863191679651244,11.675460894331879,0
license,8.124743020385568,23.350921788663758,0
bundles,8.124743020385568,17.51319134149782,0
opened,8.124743020385568,11.675460894331879,0
servers,8.124743020385568,11.675460894331879,0
concatenated,8.124743020385568,11.675460894331879,0
raised,8.124743020385568,11.675460894331879,0
underlying,8.124743020385568,11.675460894331879,0
expectedbody,0.0,29.188652235829696,0.0
resultendpoint,0.0,29.188652235829696,0.0
auth,0.0,17.51319134149782,0
inoptionalout,0.0,17.51319134149782,0.0
http_path,0.0,17.51319134149782,0.0
gotten,0.0,11.675460894331879,0.0
sftpendpoint,0.0,11.675460894331879,0.0
tempfilename,0.0,11.675460894331879,0.0
memory,0.0,11.675460894331879,0
heap,0.0,11.675460894331879,0.0
delegate,0.0,11.675460894331879,0
tempprefix,0.0,11.675460894331879,0.0
http_uri,0.0,11.675460894331879,0.0
ssh,0.0,11.675460894331879,0
