id,org,message,header,would,http,defaultproducertemplate,producercache,endpoint,expectedbody,resultendpoint,component,messages,route,files,license,protected,static,using,error,ftp,port,file,issue,also,else,apache,sendprocessor,null,redelivery,auth,delegateprocessor,mockendpoint,redeliveryerrorhandler,helper,template,inoptionalout,bundles,http_path,instrumentationprocessor,exception,support,one,exchange,processing,login,headers,uri,seda,handler,token,custom,void,copy,ignores,opened,servers,fails,something,method,like,results,consuming,connection,false,gotten,sftpendpoint,tempfilename,lets,remove,memory,content,heap,jms,concatenated,last,source,raised,delegate,underlying,tempprefix,http_uri,public,exists,wrong,ssh,data,receive,randomly,test,stop,consumer,sent,provide,expose,see,means,jetty,server,defaulterrorhandler,pass,buglabel
1091.txt,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1
1211.txt,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1384.txt,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,3,0,0,0,0,0,2,0,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1504.txt,0,4,5,0,11,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1543.txt,1,10,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1706.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1765.txt,1,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2153.txt,35,3,0,0,0,12,12,0,0,0,6,0,1,1,0,0,0,2,11,8,0,16,2,0,0,35,6,1,6,0,6,0,6,4,12,0,0,0,6,5,0,8,7,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,6,0,2,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,1
2979.txt,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
3047.txt,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,2,0,0,1
