id,org,locale,support,error,java,version,failed,test,sqlstate,delete,found,rows,derby,server,junit,alpha,user,file,security,source,unknown,trigger,log,denied,statement,access,tests,new,table,c,class,using,connection,permission,read,create,call,logtofile,database,select,row,exception,files,set,mode,check,code,socket,com,thread,run,securitymanager,message,fail,information,revoke_select_trig,sun,following,db,name,filepermission,column,wshome,encrypted,manager,encryption,end,key,need,port,jhome,opening,localhost,ant,authentication,drop,sql,method,revoke,running,jdbc,problem,needs,fileoutputstream,contains,used,network,fails,connect,granted,current,jar,execute,like,assert,would,client,begin,transaction,basicdaemon,buglabel
1055.txt,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,1,0,4,1,0,0,44,0,3,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1
1129.txt,4,0,0,15,18,0,0,13,0,0,2,0,13,36,2,0,0,0,5,0,0,0,2,0,0,0,9,0,0,151,2,0,4,0,6,0,0,0,0,0,0,24,0,0,0,0,0,8,11,6,6,0,8,1,0,0,2,0,6,0,0,0,0,0,0,0,6,0,0,8,0,8,8,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,10,0,1,0,0,0,0,0,26,6,0,0,1
1156.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,2,0,11,2,84,0,1,0,0,3,0,0,0,2,0,0,0,6,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,9,0,0,0,0,11,0,3,2,0,3,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,6,0,1
1174.txt,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1496.txt,0,0,0,0,3,0,0,3,0,0,0,0,3,0,2,0,2,1,4,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1521.txt,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1538.txt,0,11,9,0,11,12,0,1,1,3,9,4,10,0,0,11,4,0,0,0,0,0,0,0,1,0,0,0,3,53,1,0,0,0,0,2,0,0,0,4,5,1,0,1,0,0,0,0,0,0,3,0,0,0,3,0,1,0,3,3,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,2,0,3,0,3,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,0,0,0,1
1539.txt,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1541.txt,1,0,1,0,1,0,0,11,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,2,0,3,0,0,12,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1545.txt,4,0,0,0,20,0,0,14,0,0,0,0,10,0,0,0,0,1,9,4,4,0,1,1,0,6,4,0,0,76,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0,4,0,9,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1
