,best tppx,tpp,best tpp,tppx,baseline
1,8.482217789,4.215472698,14.78484344,8.118864059,5.72982502
2,6.993797302,4.821586609,11.23130798,6.812120914,5.617601395
3,5.837683201,4.291199207,9.102750778,5.678447723,4.821875572
4,5.2388134,3.792099953,7.687614441,5.11938715,4.190107346
5,4.753507614,3.389910936,6.684437752,4.656257153,3.713136196
6,4.385896683,3.125589371,5.980679989,4.304854393,3.397594452
7,4.067165375,2.898952007,5.434122562,3.99770093,3.13209939
8,3.792137623,2.733071327,4.988224983,3.731356144,2.938485622
9,3.553791046,2.602629423,4.616980076,3.499763012,2.785219908
10,3.345761299,2.489715815,4.302631378,3.297136068,2.654047251
