,best wppx,wpp,best wpp,wppx,baseline
1,1.033931255,6.647703171,11.78120708,5.750645638,5.72982502
2,3.122605085,5.35042429,9.352675438,5.694529533,5.617601395
3,3.158545017,4.912959576,7.850328922,5.142363548,4.821875572
4,2.94260931,4.401845932,6.748297691,4.573898315,4.190107346
5,2.776125193,3.966765165,5.932984829,4.10440731,3.713136196
6,2.616751909,3.629541874,5.344424248,3.73037672,3.397594452
7,2.503002644,3.374886274,4.888760567,3.461316347,3.13209939
8,2.390156746,3.153054953,4.511033535,3.228681326,2.938485622
9,2.281442881,2.972261906,4.192809582,3.02679801,2.785219908
10,2.190267086,2.822385073,3.920877934,2.861086607,2.654047251
