word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
host,1,0.025364903,0
org,0.905297788,0.273432822,0.030329661
page,0.897776296,0.058414484,0
hosts,0.865821977,0.038047354,0
user,0.750954779,0.054868508,0.074541862
failed,0.74981928,0.025364903,0
service,0.745440348,0.043894806,0.113314612
cluster,0.727334395,0.046731587,0
start,0.684118277,0.081780278,0
file,0.683658755,0.063412257,0.168526306
services,0.66338742,0.025364903,0
wizard,0.580463993,0.052118035,0.078597311
nagios,0.536997195,0.050729806,0.01716394
error,0.532390128,0.038047354,0.057837139
failures,0.515498063,0.025364903,0
hdfs,0.496790095,0.043173603,0
use,0.48714674,0.054868508,0
fails,0.469755995,0.054868508,0.041315762
name,0.431920823,0.035048691,0
configuration,0.408630123,0.050729806,0.038455568
set,0.389320442,0.043894806,0.051644703
check,0.388911606,0.038047354,0.050585004
hive,0.381864672,0.043173603,0.107493133
path,0.375051941,0.043173603,0
password,0.362241882,0.050729806,0.01029072
state,0.361879609,0.028782402,0.088630114
version,0.361321709,0.028782402,0.01716394
change,0.360812644,0.038047354,0
back,0.326002812,0.025364903,0
http,0.321951006,0.050729806,0
make,0.319775869,0.043894806,0.041315762
fix,0.315185465,0.025364903,0.075546275
property,0.309568275,0.035048691,0.01029072
cannot,0.294553843,0.043894806,0.04394922
setting,0.292831506,0.028782402,0.01029072
setup,0.288714689,0.038047354,0
call,0.286398504,0.025364903,0
security,0.281143497,0.134618888,0.02749288
configs,0.272420082,0.025364903,0
default,0.265724934,0.035048691,0.031615627
request,0.256708121,0.038047354,0
instead,0.244472606,0.035048691,0.02749288
url,0.236651875,0.025364903,0.058736655
also,0.229409386,0.038047354,0.038455568
allow,0.22923907,0.06584221,0.022747246
secure,0.223504549,0.035048691,0.020581439
web,0.222889158,0.08877716,0.031615627
datanode,0.218272332,0.076094708,0.01029072
code,0.214116568,0.028782402,0
jdk,0.211274494,0.028782402,0.020581439
wrong,0.204630312,0.043173603,0.01029072
way,0.191032558,0.028782402,0.01716394
variable,0.179853576,0.038047354,0.14406589
errors,0.167188561,0.028782402,0.01716394
deprecated,0.163503251,0.028782402,0.077237728
ganglia,0.156877185,0.100738408,0.042909849
validation,0.153256181,0.058414484,0.01029072
field,0.128354061,0.028782402,0.030329661
enable,0.125391421,0.035048691,0.041115659
executed,0.125129039,0.035048691,0.01029072
issue,0.122778187,0.050729806,0.050585004
still,0.122778187,0.028782402,0.01029072
options,0.120728282,0.050729806,0.01029072
method,0.105637247,0.057564805,0.01029072
sun,0.104099278,0.057564805,0
without,0.099830936,0.028782402,0.01029072
provide,0.090546212,0.038047354,0
input,0.090546212,0.028782402,0.01029072
registration,0.081751625,0.038047354,0
manual,0.081751625,0.028782402,0.01029072
execute,0.078205649,0.028782402,0.01716394
remote,0.069399518,0.038047354,0
owner,0.069399518,0.028782402,0.041162878
native,0.0654013,0.043173603,0
permission,0.0654013,0.038047354,0
manager,0.0654013,0.028782402,0
try,0.0654013,0.025364903,0.05286299
turn,0.052049639,0.028782402,0.056908129
permissions,0.049050975,0.054868508,0
versions,0.049050975,0.028782402,0
via,0.049050975,0.028782402,0.01029072
location,0.049050975,0.028782402,0
mechanism,0.049050975,0.028782402,0
FALSE,0.038117259,0.043173603,0
word,0.034699759,0.028782402,0.01029072
perform,0.034699759,0.028782402,0.0343661
ssl,0.019058629,0.063412257,0
prepare,0,0.474909638,0
propertyconfigurator,0,0.086347207,0
fileoutputstream,0,0.071956006,0
logutils,0,0.043173603,0
arbitrary,0,0.043173603,0
vulnerability,0,0.043173603,0
propertysetter,0,0.043173603,0
selecting,0,0.028782402,0
garbage,0,0.028782402,0
fileappender,0,0.028782402,0
unchecked,0,0.028782402,0
attackers,0,0.028782402,0
communication,0,0.028782402,0
25,6.540130024,2.878240229,0
median,20.79524027,3.804735415,1.029071955
75,36.19701769,5.072980554,3.230324558
