,best tppx,tpp,best tpp,tppx,baseline
1,28.5806179,27.97104454,9.144494057,12.54739952,1.616784215
2,19.52903175,18.37721443,8.285971642,9.734361649,3.107106686
3,15.44217205,14.40509224,7.640499592,8.623581886,3.417414665
4,13.07692432,12.10200977,7.023701191,7.783327103,3.473043442
5,11.51076412,10.6709404,6.606409073,7.195059299,3.536490917
6,10.33966923,9.620405197,6.26958847,6.742075443,3.614367485
7,9.455392838,8.804982185,5.95054245,6.373501301,3.630653858
8,8.747808456,8.192865372,5.704755306,6.052444458,3.666633844
9,8.180588722,7.725444317,5.50387907,5.785725594,3.70317173
10,7.722385883,7.331798077,5.332389355,5.567008972,3.711752653
