,best wppx,wpp,best wpp,wppx,baseline
1,9.484210968,8.519664764,15.9545126,6.998410702,1.616784215
2,7.483335495,6.964814663,10.72994518,4.187377453,3.107106686
3,6.334900856,6.078046322,8.485738754,3.345266342,3.417414665
4,5.613624096,5.562510967,7.224854946,3.506419182,3.473043442
5,5.279346466,5.142717361,6.428898811,3.767016172,3.536490917
6,5.107954502,4.890994072,5.930808544,3.819979191,3.614367485
7,4.989220142,4.720798016,5.572209358,3.922567129,3.630653858
8,4.932317734,4.593963623,5.338128567,3.985123158,3.666633844
9,4.838807583,4.51908493,5.179514885,3.999453068,3.70317173
10,4.73382473,4.446074486,5.04046154,3.978405952,3.711752653
