word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
org,1,0.064786988,0
exchange,0.266690105,0.005223849,0
message,0.228801307,0.015066741,0
file,0.201080004,0.006416183,0
using,0.161100776,0.006965133,0
route,0.159736266,0.008020228,0
exception,0.1583089,0.005223849,0
endpoint,0.142851101,0.010546719,0.00917318
component,0.137169595,0.009040045,0.011128307
null,0.135867153,0.005927676,0
method,0.13319063,0.003951784,0
header,0.120112266,0.015066741,0
http,0.118124298,0.01232493,0
see,0.099225175,0.003482566,0
like,0.09315011,0.003951784,0
also,0.091978692,0.006026697,0.00756723
error,0.091086914,0.006965133,0.005716925
support,0.090615319,0.005223849,0
jms,0.089893988,0.003951784,0
public,0.084591826,0.003951784,0.00356565
messages,0.077820549,0.008706416,0.005716925
would,0.070038494,0.012832365,0.0023771
void,0.068129327,0.003951784,0
test,0.066682414,0.003951784,0
uri,0.065888404,0.004812137,0.003153938
headers,0.064232456,0.005223849,0.001423159
one,0.063950994,0.005223849,0
issue,0.062639427,0.006026697,0.0023771
consumer,0.059299563,0.003482566,0
connection,0.051236154,0.003951784,0
handler,0.049265533,0.003951784,0.005270483
files,0.048554761,0.008020228,0.001423159
instrumentationprocessor,0.046520682,0.005927676,0
processing,0.045834596,0.005223849,0.00356565
helper,0.0447755,0.005927676,0.001423159
server,0.043834338,0.003482566,0.001423159
fails,0.042593819,0.003951784,0.001423159
data,0.040334445,0.003951784,0
last,0.035754563,0.003951784,0.00420525
ftp,0.035471184,0.006965133,0.001423159
template,0.035471184,0.005927676,0.0023771
producercache,0.035283685,0.011855353,0
apache,0.033500562,0.005927676,0
delegateprocessor,0.033078455,0.005927676,0
something,0.03223836,0.003951784,0.0023771
wrong,0.031167526,0.003951784,0.001423159
copy,0.030542577,0.003951784,0.001423159
FALSE,0.030094239,0.003951784,0.001423159
remove,0.029334142,0.003951784,0.003153938
redeliveryerrorhandler,0.028667994,0.005927676,0
stop,0.027588698,0.003482566,0.003815764
else,0.026724755,0.005927676,0.001423159
sendprocessor,0.025096138,0.005927676,0
protected,0.023647456,0.007903569,0
seda,0.023004793,0.003951784,0
jetty,0.023004793,0.003482566,0.001423159
static,0.021435201,0.006965133,0.001423159
defaultproducertemplate,0.021403162,0.011855353,0
custom,0.019706213,0.003951784,0.004392069
provide,0.018415337,0.003482566,0.008409812
means,0.017148161,0.003482566,0
results,0.016369188,0.003951784,0
redelivery,0.015965303,0.005927676,0
receive,0.015436612,0.003951784,0.0023771
source,0.015004641,0.003951784,0
exists,0.015004641,0.003951784,0
pass,0.015004641,0.003482566,0.001423159
content,0.013684545,0.003951784,0
ignores,0.013231382,0.003951784,0
defaulterrorhandler,0.013231382,0.003482566,0
consuming,0.01286112,0.003951784,0
sent,0.01286112,0.003482566,0.0023771
lets,0.011026152,0.003951784,0
login,0.010061466,0.005223849,0
port,0.0075461,0.006965133,0.010231715
token,0.0075461,0.003951784,0
mockendpoint,0.007134387,0.005927676,0
expose,0.007134387,0.003482566,0
randomly,0.005030733,0.003951784,0
license,0.002749976,0.007903569,0
bundles,0.002749976,0.005927676,0
opened,0.002749976,0.003951784,0
servers,0.002749976,0.003951784,0
concatenated,0.002749976,0.003951784,0
raised,0.002749976,0.003951784,0
underlying,0.002749976,0.003951784,0
expectedbody,0,0.009879461,0
resultendpoint,0,0.009879461,0
auth,0,0.005927676,0
inoptionalout,0,0.005927676,0
http_path,0,0.005927676,0
gotten,0,0.003951784,0
sftpendpoint,0,0.003951784,0
tempfilename,0,0.003951784,0
memory,0,0.003951784,0
heap,0,0.003951784,0
delegate,0,0.003951784,0
tempprefix,0,0.003951784,0
http_uri,0,0.003951784,0
ssh,0,0.003951784,0
25,0.754609959,0.395178427,0
median,2.812834623,0.395178427,0
75,6.464644291,0.592767641,0.142315908
