,best tppx,tpp,best tpp,tppx,baseline
1,3.120067835,2.620900393,2.620900393,3.120067835,0.205984429
2,2.438457251,1.998014212,1.998014212,2.438457251,0.240497053
3,2.060950279,1.615689635,1.615689635,2.060950279,0.269720912
4,1.793437123,1.382184744,1.382184744,1.793437123,0.313676357
5,1.601933718,1.228652716,1.228652716,1.601933718,0.350754887
6,1.457419515,1.119064927,1.119064927,1.457419515,0.381832808
7,1.343951821,1.038755655,1.038755655,1.343951821,0.405091703
8,1.253162622,0.97832644,0.97832644,1.253162622,0.423656851
9,1.176085711,0.931298852,0.931298852,1.176085711,0.438064754
10,1.109609008,0.890087903,0.890087903,1.109609008,0.445989788
