,best wppx,wpp,best wpp,wppx,baseline
1,7.686528206,2.722916842,2.409970045,5.376900673,0.205984429
2,4.938891888,1.61559701,1.747900128,3.525418758,0.240497053
3,3.825645447,1.227294326,1.399794579,2.756432533,0.269720912
4,3.181616068,1.04941988,1.212296247,2.362594128,0.313676357
5,2.755527496,0.943925321,1.092991829,2.092607498,0.350754887
6,2.442536116,0.877396584,1.009419799,1.889989376,0.381832808
7,2.20051837,0.830797315,0.947086513,1.726789474,0.405091703
8,2.00737834,0.796849191,0.900028646,1.592764378,0.423656851
9,1.849040985,0.769917905,0.861430585,1.480495214,0.438064754
10,1.716610312,0.744749486,0.827064633,1.384815693,0.445989788
