word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
const,1,0.394541331,0.388451385
int,0.942652878,0.393910147,0.388451385
chrome,0.909479076,0.401698625,0.388451385
tab,0.80456747,0.391155139,0.099748576
page,0.800693528,0.393270004,0
std,0.796792939,0.394004394,0.370792191
base,0.7561677,0.3900149,0.388451385
window,0.755638319,0.391572496,0.196330119
line,0.701814817,0.394420008,0.309898135
crash,0.683826672,0.390836173,0.388451385
version,0.683643341,0.390804866,0.227519444
ok,0.682865175,0.390434158,0.388451385
open,0.678799899,0.391504525,0.182969327
new,0.677501276,0.389833439,0.388451385
browser,0.663554426,0.391387097,0.232810073
click,0.661723514,0.390922264,0.17162743
bool,0.659228691,0.389803612,0.388451385
windows,0.654369776,0.391944325,0.349721284
file,0.637723649,0.394021459,0.338916346
link,0.62062919,0.390208825,0.388451385
button,0.611256328,0.389803612,0.302328994
build,0.608287836,0.389867652,0.388451385
url,0.607949099,0.391671938,0.295794539
see,0.60355998,0.390888292,0.296192887
download,0.60021442,0.390749576,0.355063289
please,0.595704934,0.390113005,0.388451385
http,0.592284126,0.39110115,0.069661202
firefox,0.58194913,0.389881894,0.388451385
unsigned,0.576558715,0.39063489,0.388059882
ie,0.569213901,0.390248056,0.388451385
user,0.565392608,0.392913667,0.380682995
like,0.562228526,0.39106703,0.365773663
one,0.561540633,0.390240822,0.317409108
ipc,0.56029643,0.390557699,0.384092671
expected,0.560237726,0.389803262,0.388451385
bytes,0.559869866,0.393429945,0.38893035
use,0.538343464,0.390073637,0.184170739
close,0.538222247,0.390052723,0.362599754
void,0.536420205,0.389921404,0.388451385
get,0.534454279,0.390248056,0.27351489
using,0.532688937,0.390113005,0.360601231
site,0.532546803,0.391423708,0.353551396
time,0.529465506,0.390292532,0.388451385
safari,0.529256585,0.390386261,0.367285422
issue,0.528584763,0.391007724,0.388451385
views,0.523667,0.390557699,0.390059458
back,0.518843674,0.389758068,0.388451385
urls,0.518353774,0.390208825,0.379659395
would,0.514024266,0.390532126,0.38390878
tests,0.512369942,0.390150905,0.388451385
browsers,0.509582866,0.390532126,0.379679118
web,0.509354355,0.390624273,0.388451385
first,0.508729789,0.389761571,0.373818666
run,0.507208355,0.389761571,0.209239073
bug,0.506114099,0.39058941,0.352185399
data,0.504120206,0.390150905,0.375154792
also,0.501994535,0.389881894,0.380963321
net,0.498477479,0.38998325,0.366840899
code,0.49779906,0.390879907,0.388451385
make,0.497164071,0.389971645,0.37306763
attached,0.491474274,0.389803262,0.376942347
content,0.491297757,0.391077288,0.37807691
release,0.476481128,0.390052723,0.375787643
drag,0.475181446,0.389758068,0.385082391
password,0.471660963,0.390343875,0.389357105
may,0.471486752,0.390208825,0.384509044
google,0.468128771,0.397085338,0.388451385
something,0.467968513,0.38993845,0.386390308
javascript,0.467695178,0.390404602,0.387012532
view,0.465154531,0.390084739,0.317801156
used,0.463446415,0.38993845,0.385175192
example,0.463340039,0.390104107,0.388477181
sure,0.463005578,0.389833439,0.385850947
chromium,0.462778632,0.395501126,0.388451385
ca,0.462148048,0.389803612,0.388451385
found,0.460679634,0.389867652,0.38516593
ntdll,0.460173032,0.39063489,0.389834537
memory,0.460011515,0.391290327,0.388609423
proxy,0.456885581,0.390174733,0.387094184
seems,0.455999777,0.390208825,0.388819656
project,0.454984491,0.394788231,0.388451385
hosting,0.454732685,0.394788231,0.388451385
source,0.452597358,0.390188624,0.333292527
function,0.448610768,0.390173732,0.38233461
access,0.447294349,0.389833439,0.38742248
certificate,0.434503554,0.390248074,0.388636417
users,0.434369575,0.389908756,0.388991182
refresh,0.43151874,0.390536071,0.389174956
ssl,0.430755303,0.390166996,0.389409469
alert,0.427167425,0.389907147,0.388937202
security,0.426609982,0.393268185,0.389389892
header,0.419219399,0.390248074,0.389579549
https,0.418623467,0.389803612,0.389330474
versions,0.412993953,0.389803612,0.38914648
mixed,0.397174245,0.389921404,0.38878221
corruption,0.396014484,0.390343875,0.388451385
vulnerability,0.392190805,0.391000665,0.388451385
malicious,0.39099802,0.390208825,0.388451385
exploit,0.389543013,0.390011032,0.388451385
attacker,0.389347556,0.390524467,0.388451385
25,46.17809443,38.99803486,36.49801855
median,51.09764038,39.02480744,38.7258332
75,59.68323059,39.10225505,38.84513853
