,best tppx,tpp,best tpp,tppx,baseline
1,43.32832336,29.129673,14.5176506,16.14396667,9.53662014
2,36.30806732,23.42928123,14.10605812,17.06133842,8.654356956
3,31.15954781,19.65755081,13.1998806,17.33905602,8.679255486
4,27.67147827,17.29879189,13.10297775,16.66499138,8.553959846
5,25.09804916,15.83858871,12.88384151,15.94682789,8.262150764
6,23.03824234,14.59406948,12.52396774,15.34538841,7.878436565
7,21.34411621,13.56683636,12.05408287,14.72181892,7.738789082
8,19.94011879,12.87688255,11.59063053,14.11510658,7.695875168
9,18.73370552,12.35108089,11.20100117,13.53530693,7.698230267
10,17.72582054,11.94640255,10.91388702,13.04726124,7.736979485
