,best wppx,wpp,best wpp,wppx,baseline
1,51.97890854,25.0086956,35.3494606,58.08413696,9.53662014
2,42.01945114,24.29138184,34.61654663,44.01119232,8.654356956
3,35.60835648,21.50956917,30.12250328,36.49399567,8.679255486
4,31.46591568,19.77081108,26.86213684,31.92173004,8.553959846
5,28.47504997,18.16025925,24.1614418,28.77619553,8.262150764
6,26.09626579,16.77144814,21.95442009,26.34596634,7.878436565
7,24.13634109,15.66822243,20.22667503,24.35037041,7.738789082
8,22.48616791,14.82244778,18.85029984,22.67344284,7.695875168
9,21.07121849,14.14421654,17.73047829,21.23768616,7.698230267
10,19.84819221,13.58631516,16.8152256,19.99801254,7.736979485
