word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
org,1,0.691283307,0.667087614
unknown,0.804763949,0.673401906,0.667087614
source,0.80354143,0.67341599,0.667087614
junit,0.74972828,0.674893544,0.685766253
table,0.725022487,0.672201844,0.667087614
derby,0.720160896,0.675344554,0.624102109
select,0.716834874,0.671481458,0.672691162
java,0.716772694,0.679669746,0.65773884
rows,0.714841142,0.675785044,0.670966099
error,0.711416773,0.679855842,0.668986332
test,0.710518274,0.676946234,0.657441817
exception,0.706253103,0.671428811,0.671356127
database,0.702505524,0.671579996,0.667087614
statement,0.702057196,0.672740184,0.667087614
client,0.701352453,0.669388841,0.670693978
file,0.699035276,0.674034892,0.671504505
create,0.697573916,0.671690069,0.667087614
new,0.696516554,0.672265376,0.667087614
row,0.696049297,0.671481458,0.667087614
version,0.695860701,0.678593752,0.670316941
column,0.695841283,0.670472196,0.667087614
connection,0.695706269,0.671977722,0.667087614
set,0.694692057,0.671394334,0.65011062
server,0.694690196,0.67490653,0.669318609
following,0.693401727,0.670662718,0.668736852
code,0.693225536,0.671173447,0.667087614
method,0.692709822,0.670048484,0.667087614
using,0.692673401,0.672026065,0.669449964
call,0.691969664,0.671663504,0.667087614
sun,0.691909103,0.670696908,0.670955215
sql,0.690624413,0.670086728,0.661047588
run,0.689345388,0.671080843,0.669787525
class,0.688929494,0.672085097,0.670488193
network,0.688526753,0.669779314,0.668574086
like,0.687807182,0.669510144,0.669240499
failed,0.68711487,0.677915495,0.670331672
tests,0.687075705,0.672597524,0.689887904
fails,0.687015873,0.669775366,0.669177178
problem,0.68663803,0.669863994,0.667087614
jdbc,0.68595061,0.669863994,0.667087614
would,0.684893494,0.669444127,0.669225332
used,0.684403103,0.669779314,0.669600673
name,0.683675647,0.670539455,0.667087614
alpha,0.682880178,0.67434905,0.667325514
c,0.68261566,0.672186107,0
transaction,0.682527438,0.669344002,0.667087614
key,0.682183309,0.67024476,0.671580659
trigger,0.682091225,0.673401906,0.677386743
user,0.682018418,0.674157152,0.668870391
locale,0.681811527,0.687181677,0.667087614
files,0.681636039,0.671402416,0.667620264
current,0.681598429,0.669613331,0.669895488
end,0.681539902,0.670251802,0.669550417
support,0.681235941,0.683776155,0.669314414
message,0.681164461,0.670876189,0.669415609
running,0.680888905,0.669896624,0.668507169
fail,0.68023149,0.670855994,0.669344488
delete,0.678491418,0.676551279,0.675734082
connect,0.678316577,0.669705961,0.667755639
log,0.67801255,0.673171399,0.672737388
mode,0.677736403,0.671286373,0.668266663
found,0.67642551,0.676084955,0.668259614
check,0.676349477,0.671286373,0.670241045
need,0.676113693,0.670151989,0.668762987
drop,0.675953708,0.670086728,0.669437348
thread,0.67557661,0.671125164,0.670362206
begin,0.67534737,0.669344002,0.668543336
information,0.674937265,0.670827109,0.668063928
needs,0.674856765,0.669863994,0.668063928
assert,0.674835082,0.66945353,0.671663411
sqlstate,0.67449846,0.676889267,0.668397669
read,0.673929897,0.671932674,0.670419754
execute,0.673497653,0.669613331,0.667087614
jar,0.673187435,0.669613331,0.668134036
access,0.673103892,0.672633855,0.675615108
port,0.671894046,0.670129506,0.671109877
contains,0.671837307,0.669786816,0.667896348
security,0.671129771,0.673789321,0.667797814
manager,0.670944785,0.67041927,0.673215288
ant,0.670594133,0.670096131,0.670511356
com,0.670265186,0.67114347,0.665146861
db,0.669242333,0.670560475,0.657469357
revoke,0.669184963,0.669964148,0.668277115
socket,0.669073596,0.67114347,0.667801314
granted,0.6689178,0.669676495,0.667087614
logtofile,0.668765494,0.67160039,0.668515015
opening,0.668765494,0.670096131,0.667087614
denied,0.668460254,0.672837086,0.667087614
localhost,0.668460254,0.670096131,0.667896348
authentication,0.668460254,0.670086728,0.667325514
encrypted,0.668002707,0.670467494,0.667087614
encryption,0.66754516,0.670386639,0.667087614
permission,0.667087614,0.671939541,0.667087614
securitymanager,0.667087614,0.671015135,0.667087614
revoke_select_trig,0.667087614,0.670805482,0.667087614
filepermission,0.667087614,0.670539455,0.667087614
wshome,0.667087614,0.670472196,0.667087614
jhome,0.667087614,0.670096131,0.667087614
fileoutputstream,0.667087614,0.669791518,0.667087614
basicdaemon,0.667087614,0.669344002,0.667087614
25,67.28014304,67.00867278,66.70876139
median,68.17237831,67.11030033,66.8063928
75,69.32695835,67.2660437,66.96473859
