train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,Target,Source,Top results,,,,,,,,,,pd-tpp,pd-tppx,pf-tpp,pf-tppx,g-measure-tpp,g-measure-tppx
ambariderby-cross-train.csv,ambariderby-cross-test.csv,multilayer_perceptron,472,4,3,21,57.1,4.3,71.6,,chromium,ambari,best tpp,logistic_regression,20768,41,70,1564,36.9,7.0,52.9,,57.1,57.1,4.3,4.3,71.6,71.6
ambariderby-cross-train.csv,ambariderby-cross-test.csv,logistic_regression,432,4,3,61,57.1,12.4,69.2,,,,tppx,logistic_regression,18945,54,57,3387,48.6,15.2,61.8,,57.1,57.1,12.4,6.5,69.2,70.9
ambarichromium-cross-train.csv,ambarichromium-cross-test.csv,naive_bayes,466,2,5,27,28.6,5.5,43.9,,,,best tppx,logistic_regression,18945,54,57,3387,48.6,15.2,61.8,,28.6,57.1,5.5,8.9,43.9,70.2
ambariderby-cross-train.csv,ambariderby-cross-test.csv,naive_bayes,474,1,6,19,14.3,3.9,24.9,,,,tpp,logistic_regression,20768,41,70,1564,36.9,7.0,52.9,,14.3,57.1,3.9,11.8,24.9,69.4
ambariwicket-cross-train.csv,ambariwicket-cross-test.csv,naive_bayes,465,1,6,28,14.3,5.7,24.8,,,,,,,,,,,,,,14.3,57.1,5.7,13.2,24.8,68.9
ambarichromium-cross-train.csv,ambarichromium-cross-test.csv,logistic_regression,1,7,0,492,100.0,99.8,0.4,,wicket,ambari,best tpp,naive_bayes,396,3,3,98,50.0,19.8,61.6,,100.0,57.1,99.8,17.4,0.4,67.5
ambaricamel-cross-train.csv,ambaricamel-cross-test.csv,naive_bayes,460,0,7,33,0.0,6.7,0.0,,,,tppx,naive_bayes,304,3,3,190,50.0,38.5,55.2,,0.0,57.1,6.7,26.4,0.0,64.3
ambaricamel-cross-train.csv,ambaricamel-cross-test.csv,logistic_regression,468,0,7,25,0.0,5.1,0.0,,,,best tppx,naive_bayes,326,3,3,168,50.0,34.0,56.9,,0.0,42.9,5.1,6.1,0.0,58.9
ambaricamel-cross-train.csv,ambaricamel-cross-test.csv,random_forest,493,0,7,0,0.0,0.0,0.0,,,,tpp,naive_bayes,457,1,5,37,16.7,7.5,28.2,,0.0,42.9,0.0,13.4,0.0,57.3
ambaricamel-cross-train.csv,ambaricamel-cross-test.csv,ib_k,491,0,7,2,0.0,0.4,0.0,,,,,,,,,,,,,,0.0,42.9,0.4,15.4,0.0,56.9
ambaricamel-cross-train.csv,ambaricamel-cross-test.csv,multilayer_perceptron,489,0,7,4,0.0,0.8,0.0,,ambari,derby,best tpp,multilayer_perceptron,472,4,3,21,57.1,4.3,71.6,,0.0,28.6,0.8,6.3,0.0,43.8
ambarichromium-cross-train.csv,ambarichromium-cross-test.csv,random_forest,493,0,7,0,0.0,0.0,0.0,,,,tppx,multilayer_perceptron,463,3,4,30,42.9,6.1,58.9,,0.0,0.0,0.0,17.0,0.0,0.0
ambarichromium-cross-train.csv,ambarichromium-cross-test.csv,ib_k,493,0,7,0,0.0,0.0,0.0,,,,best tppx,random_forest,472,4,3,21,57.1,4.3,71.6,,0.0,0.0,0.0,1.0,0.0,0.0
ambarichromium-cross-train.csv,ambarichromium-cross-test.csv,multilayer_perceptron,492,0,7,1,0.0,0.2,0.0,,,,tpp,random_forest,488,0,7,5,0.0,1.0,0.0,,0.0,0.0,0.2,3.0,0.0,0.0
ambariderby-cross-train.csv,ambariderby-cross-test.csv,random_forest,488,0,7,5,0.0,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.2,0.0,0.0
ambariderby-cross-train.csv,ambariderby-cross-test.csv,ib_k,478,0,7,15,0.0,3.0,0.0,,camel,derby,best tpp,logistic_regression,433,5,13,49,27.8,10.2,42.4,,0.0,0.0,3.0,2.0,0.0,0.0
ambariwicket-cross-train.csv,ambariwicket-cross-test.csv,logistic_regression,485,0,7,8,0.0,1.6,0.0,,,,tppx,logistic_regression,424,3,15,58,16.7,12.0,28.0,,0.0,0.0,1.6,3.2,0.0,0.0
ambariwicket-cross-train.csv,ambariwicket-cross-test.csv,random_forest,493,0,7,0,0.0,0.0,0.0,,,,best tppx,multilayer_perceptron,430,7,11,52,38.9,10.8,54.2,,0.0,0.0,0.0,0.0,0.0,0.0
ambariwicket-cross-train.csv,ambariwicket-cross-test.csv,ib_k,493,0,7,0,0.0,0.0,0.0,,,,tpp,multilayer_perceptron,480,4,14,2,22.2,0.4,36.3,,0.0,0.0,0.0,0.0,0.0,0.0
ambariwicket-cross-train.csv,ambariwicket-cross-test.csv,multilayer_perceptron,487,0,7,6,0.0,1.2,0.0,,,,,,,,,,,,,,0.0,0.0,1.2,0.4,0.0,0.0
,,,,,,,,,,,derby,ambari,best tpp,naive_bayes,294,25,17,164,59.5,35.8,61.8,,27.8,38.9,10.2,10.8,42.4,54.2
camelderby-cross-train.csv,camelderby-cross-test.csv,logistic_regression,433,5,13,49,27.8,10.2,42.4,,,,tppx,naive_bayes,230,34,8,228,81.0,49.8,62.0,,27.8,38.9,21.8,13.5,41.0,53.7
camelambari-cross-train.csv,camelambari-cross-test.csv,naive_bayes,377,5,13,105,27.8,21.8,41.0,,,,best tppx,logistic_regression,414,21,21,44,50.0,9.6,64.4,,22.2,38.9,0.4,19.5,36.3,52.4
camelderby-cross-train.csv,camelderby-cross-test.csv,multilayer_perceptron,480,4,14,2,22.2,0.4,36.3,,,,tpp,logistic_regression,393,15,27,65,35.7,14.2,50.4,,22.2,44.4,13.1,37.8,35.4,51.9
camelwicket-cross-train.csv,camelwicket-cross-test.csv,naive_bayes,419,4,14,63,22.2,13.1,35.4,,,,,,,,,,,,,,22.2,38.9,18.7,28.8,34.9,50.3
camelambari-cross-train.csv,camelambari-cross-test.csv,logistic_regression,392,4,14,90,22.2,18.7,34.9,,,,,,,,,,,,,,11.1,27.8,5.8,19.9,19.9,41.2
camelderby-cross-train.csv,camelderby-cross-test.csv,naive_bayes,454,2,16,28,11.1,5.8,19.9,,,,,,,,,,,,,,11.1,27.8,11.4,27.8,19.7,40.1
camelchromium-cross-train.csv,camelchromium-cross-test.csv,naive_bayes,427,2,16,55,11.1,11.4,19.7,,,,,,,,,,,,,,5.6,16.7,2.3,2.7,10.5,28.5
camelambari-cross-train.csv,camelambari-cross-test.csv,ib_k,471,1,17,11,5.6,2.3,10.5,,,,,,,,,,,,,,5.6,16.7,2.5,12.0,10.5,28.0
camelderby-cross-train.csv,camelderby-cross-test.csv,ib_k,470,1,17,12,5.6,2.5,10.5,,,,,,,,,,,,,,5.6,16.7,4.4,12.9,10.5,28.0
camelambari-cross-train.csv,camelambari-cross-test.csv,multilayer_perceptron,461,1,17,21,5.6,4.4,10.5,,,,,,,,,,,,,,100.0,11.1,99.6,2.3,0.8,20.0
camelchromium-cross-train.csv,camelchromium-cross-test.csv,logistic_regression,2,18,0,480,100.0,99.6,0.8,,,,,,,,,,,,,,0.0,11.1,0.0,5.8,0.0,19.9
camelambari-cross-train.csv,camelambari-cross-test.csv,random_forest,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,11.1,0.0,10.2,0.0,19.8
camelchromium-cross-train.csv,camelchromium-cross-test.csv,random_forest,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5.6,0.6,2.9,0.0,10.5
