train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
derby-farsec-train.csv,ambariderby-farsec-test.csv,random_forest,472,4,3,21,57.1,4.3,71.6,,ambari-farsec-train.csv,chromiumambari-farsec-test.csv,logistic_regression,18945,54,57,3387,48.6,15.2,61.8
camel-farsec-train.csv,ambaricamel-farsec-test.csv,multilayer_perceptron,461,4,3,32,57.1,6.5,70.9,,camel-farsec-train.csv,wicketcamel-farsec-test.csv,naive_bayes,326,3,3,168,50.0,34.0,56.9
derby-farsec-train.csv,ambariderby-farsec-test.csv,naive_bayes,449,4,3,44,57.1,8.9,70.2,,derby-farsec-train.csv,ambariderby-farsec-test.csv,random_forest,472,4,3,21,57.1,4.3,71.6
wicket-farsec-train.csv,ambariwicket-farsec-test.csv,logistic_regression,435,4,3,58,57.1,11.8,69.4,,derby-farsec-train.csv,camelderby-farsec-test.csv,multilayer_perceptron,430,7,11,52,38.9,10.8,54.2
chromium-farsec-train.csv,ambarichromium-farsec-test.csv,logistic_regression,428,4,3,65,57.1,13.2,68.9,,ambari-farsec-train.csv,derbyambari-farsec-test.csv,logistic_regression,414,21,21,44,50.0,9.6,64.4
chromium-farsec-train.csv,ambarichromium-farsec-test.csv,naive_bayes,407,4,3,86,57.1,17.4,67.5,,,,,,,,,,,
camel-farsec-train.csv,ambaricamel-farsec-test.csv,naive_bayes,363,4,3,130,57.1,26.4,64.3,,,,,,,,,,,
derby-farsec-train.csv,ambariderby-farsec-test.csv,multilayer_perceptron,463,3,4,30,42.9,6.1,58.9,,,,,,,,,,,
wicket-farsec-train.csv,ambariwicket-farsec-test.csv,naive_bayes,427,3,4,66,42.9,13.4,57.3,,,,,,,,,,,
derby-farsec-train.csv,ambariderby-farsec-test.csv,logistic_regression,417,3,4,76,42.9,15.4,56.9,,,,,,,,,,,
chromium-farsec-train.csv,ambarichromium-farsec-test.csv,multilayer_perceptron,462,2,5,31,28.6,6.3,43.8,,,,,,,,,,,
camel-farsec-train.csv,ambaricamel-farsec-test.csv,logistic_regression,409,0,7,84,0.0,17.0,0.0,,,,,,,,,,,
camel-farsec-train.csv,ambaricamel-farsec-test.csv,random_forest,488,0,7,5,0.0,1.0,0.0,,,,,,,,,,,
camel-farsec-train.csv,ambaricamel-farsec-test.csv,ib_k,478,0,7,15,0.0,3.0,0.0,,,,,,,,,,,
chromium-farsec-train.csv,ambarichromium-farsec-test.csv,random_forest,492,0,7,1,0.0,0.2,0.0,,,,,,,,,,,
chromium-farsec-train.csv,ambarichromium-farsec-test.csv,ib_k,483,0,7,10,0.0,2.0,0.0,,,,,,,,,,,
derby-farsec-train.csv,ambariderby-farsec-test.csv,ib_k,477,0,7,16,0.0,3.2,0.0,,,,,,,,,,,
wicket-farsec-train.csv,ambariwicket-farsec-test.csv,random_forest,493,0,7,0,0.0,0.0,0.0,,,,,,,,,,,
wicket-farsec-train.csv,ambariwicket-farsec-test.csv,ib_k,493,0,7,0,0.0,0.0,0.0,,,,,,,,,,,
wicket-farsec-train.csv,ambariwicket-farsec-test.csv,multilayer_perceptron,491,0,7,2,0.0,0.4,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
derby-farsec-train.csv,camelderby-farsec-test.csv,multilayer_perceptron,430,7,11,52,38.9,10.8,54.2,,,,,,,,,,,
chromium-farsec-train.csv,camelchromium-farsec-test.csv,logistic_regression,417,7,11,65,38.9,13.5,53.7,,,,,,,,,,,
derby-farsec-train.csv,camelderby-farsec-test.csv,naive_bayes,388,7,11,94,38.9,19.5,52.4,,,,,,,,,,,
ambari-farsec-train.csv,camelambari-farsec-test.csv,naive_bayes,300,8,10,182,44.4,37.8,51.9,,,,,,,,,,,
chromium-farsec-train.csv,camelchromium-farsec-test.csv,naive_bayes,343,7,11,139,38.9,28.8,50.3,,,,,,,,,,,
wicket-farsec-train.csv,camelwicket-farsec-test.csv,logistic_regression,386,5,13,96,27.8,19.9,41.2,,,,,,,,,,,
wicket-farsec-train.csv,camelwicket-farsec-test.csv,naive_bayes,348,5,13,134,27.8,27.8,40.1,,,,,,,,,,,
derby-farsec-train.csv,camelderby-farsec-test.csv,random_forest,469,3,15,13,16.7,2.7,28.5,,,,,,,,,,,
derby-farsec-train.csv,camelderby-farsec-test.csv,logistic_regression,424,3,15,58,16.7,12.0,28.0,,,,,,,,,,,
ambari-farsec-train.csv,camelambari-farsec-test.csv,logistic_regression,420,3,15,62,16.7,12.9,28.0,,,,,,,,,,,
chromium-farsec-train.csv,camelchromium-farsec-test.csv,ib_k,471,2,16,11,11.1,2.3,20.0,,,,,,,,,,,
ambari-farsec-train.csv,camelambari-farsec-test.csv,random_forest,454,2,16,28,11.1,5.8,19.9,,,,,,,,,,,
ambari-farsec-train.csv,camelambari-farsec-test.csv,multilayer_perceptron,433,2,16,49,11.1,10.2,19.8,,,,,,,,,,,
ambari-farsec-train.csv,camelambari-farsec-test.csv,ib_k,468,1,17,14,5.6,2.9,10.5,,,,,,,,,,,
chromium-farsec-train.csv,camelchromium-farsec-test.csv,multilayer_perceptron,455,1,17,27,5.6,5.6,10.5,,,,,,,,,,,
chromium-farsec-train.csv,camelchromium-farsec-test.csv,random_forest,481,0,18,1,0.0,0.2,0.0,,,,,,,,,,,
derby-farsec-train.csv,camelderby-farsec-test.csv,ib_k,471,0,18,11,0.0,2.3,0.0,,,,,,,,,,,
wicket-farsec-train.csv,camelwicket-farsec-test.csv,random_forest,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,
wicket-farsec-train.csv,camelwicket-farsec-test.csv,ib_k,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,
wicket-farsec-train.csv,camelwicket-farsec-test.csv,multilayer_perceptron,455,0,18,27,0.0,5.6,0.0,,,,,,,,,,,
