,best tppx,tpp,best tpp,tppx,baseline
1,5.536592007,1.008436441,3.340474129,3.812696457,0
2,4.379038811,1.275338769,2.803595543,3.135643244,0.524173796
3,3.726965189,1.388629913,2.676669836,2.628833055,0.618651211
4,3.225499392,1.328322768,2.437777996,2.281438351,0.60741359
5,2.847572803,1.240773678,2.217395544,2.181381464,0.574988604
6,2.594990253,1.155303836,2.029818296,2.060469389,0.539820075
7,2.400177717,1.101998448,1.875048876,1.942017078,0.546875
8,2.236649275,1.074455857,1.774020672,1.832617879,0.562641025
9,2.118848562,1.081994772,1.714041352,1.733566284,0.629976809
10,2.026283026,1.100094676,1.66893661,1.655020356,0.693278491
