,best wppx,wpp,best wpp,wppx,baseline
1,0.820814252,0,0,3.812696457,0
2,1.295936704,0.383319229,0.507507086,2.59452033,0.524173796
3,1.40236187,0.524748206,0.607540131,2.274906874,0.618651211
4,1.369479895,0.536986351,0.599080265,2.211663961,0.60741359
5,1.440020323,0.518646777,0.568321943,2.125562191,0.574988604
6,1.442668438,0.492868543,0.534264505,2.013953209,0.539820075
7,1.435376644,0.501977384,0.542113066,1.929499865,0.546875
8,1.422645807,0.520692527,0.558474362,1.855003595,0.562641025
9,1.395289898,0.590550244,0.626273096,1.779607892,0.629976809
10,1.362212777,0.657794595,0.689945161,1.708099008,0.693278491
