word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
org,1,0.030341881,0
component,0.422591483,0.005039389,0
page,0.391869174,0.005039389,0
class,0.334003723,0.006501832,0
method,0.306239786,0.002519694,0
requestcycle,0.222751925,0.01517094,0.002106497
target,0.206538728,0.006501832,0.007739643
exception,0.189651063,0.002519694,0.021019123
error,0.182363762,0.010078778,0.014840406
field,0.173695958,0.002519694,0
http,0.125533658,0.002519694,0.012738862
call,0.124403862,0.005039389,0.014794429
example,0.116581497,0.002519694,0
find,0.10810178,0.002519694,0.014036878
wicketfilter,0.107244863,0.002519694,0.002106497
fails,0.096090471,0.005039389,0.003508159
think,0.095517554,0.002519694,0.011803316
attached,0.094960335,0.005039389,0.009760666
fix,0.088353737,0.005039389,0.011768152
java,0.08499162,0.02267725,0
multipart,0.079019327,0.002519694,0
calls,0.077197455,0.005039389,0.007016318
simple,0.070440015,0.005883379,0.007819955
causes,0.069211511,0.002519694,0.003508159
upload,0.065796418,0.005039389,0.00631949
source,0.062395934,0.020157556,0.022929952
server,0.061605294,0.002519694,0.007739643
e,0.061022028,0.002519694,0
created,0.059494134,0.002519694,0.003508159
methods,0.059494134,0.002519694,0.005606649
different,0.058805053,0.005039389,0
ca,0.050994972,0.002519694,0
wicketservlet,0.049483865,0.002519694,0
webapplication,0.048627278,0.010078778,0
creates,0.048161918,0.002519694,0.003508159
access,0.045890114,0.002519694,0
params,0.044137211,0.002519694,0
thread,0.043587163,0.005039389,0.002106497
files,0.041870448,0.015118167,0
makes,0.037775541,0.002519694,0.006441046
jetty,0.037113281,0.002519694,0
hi,0.035358084,0.002519694,0
workaround,0.035358084,0.002519694,0.004643786
handle,0.034020508,0.002519694,0
webrequestcycle,0.033916222,0.005039389,0
homepage,0.032989243,0.002519694,0.004212994
errors,0.030927734,0.002519694,0
javax,0.028984944,0.005039389,0
listener,0.024535526,0.002519694,0
easy,0.022543846,0.002519694,0
unknown,0.019793546,0.020157556,0
important,0.019793546,0.002519694,0.002106497
shared,0.019287462,0.002519694,0
httpservlet,0.018256708,0.005039389,0
trace,0.016958111,0.002519694,0
manually,0.016958111,0.002519694,0.003508159
temporary,0.014605366,0.007559083,0
sessions,0.014605366,0.002519694,0.00631949
security,0.014020301,0.002519694,0.002106497
become,0.014020301,0.002519694,0.004212994
initialized,0.014020301,0.002519694,0.002106497
requestlistenerinterface,0.011572477,0.002519694,0
count,0.010954025,0.002519694,0
threads,0.007714985,0.005039389,0
delete,0.007714985,0.005039389,0
limited,0.007714985,0.002519694,0
interfacerequest,0.007714985,0.002519694,0
couple,0.007714985,0.002519694,0
occured,0.00420991,0.005039389,0
concurrently,0.00420991,0.005039389,0
safe,0.00420991,0.005039389,0.00631949
corrupted,0.00420991,0.002519694,0
among,0.00420991,0.002519694,0
regards,0.00420991,0.002519694,0
stateful,0.00420991,0.002519694,0
hope,0.00420991,0.002519694,0
hashmap,0.00420991,0.002519694,0
database,0.00420991,0.002519694,0
pagerequest,0.00420991,0.002519694,0
uploading,0.00420991,0.002519694,0
io,0,0.010078778,0
statelesshomepage,0,0.005039389,0
deleting,0,0.005039389,0
servletwrapper,0,0.005039389,0
addbufferedresponse,0,0.005039389,0
popbufferedresponse,0,0.005039389,0
hole,0,0.002519694,0
signinform,0,0.002519694,0
space,0,0.002519694,0
credentialsexpected,0,0.002519694,0
dataprovider,0,0.002519694,0
inform,0,0.002519694,0
jan,0,0.002519694,0
happends,0,0.002519694,0
statelesschecker,0,0.002519694,0
insucceeded,0,0.002519694,0
incomplete,0,0.002519694,0
cancelled,0,0.002519694,0
bufferedresponses,0,0.002519694,0
sucessfull,0,0.002519694,0
25,0.420990978,0.251969447,0
median,2.116869576,0.251969447,0
75,6.324605508,0.503938893,0.350815895
