Data,Algorithm,tn,tp,fn,fp,pd,pf,g-measure
ambari,logistic_regression,461,3,4,32,42.9,6.5,58.8
ambari,naive_bayes,441,2,5,52,28.6,10.5,43.3
ambari,multilayer_perceptron,479,1,6,14,14.3,2.8,24.9
ambari,random_forest,493,0,7,0,0,0,0
ambari,ib_k,485,0,7,8,0,1.6,0
camel,logistic_regression,424,4,14,58,22.2,12,35.5
camel,naive_bayes,407,4,14,75,22.2,15.6,35.2
camel,random_forest,482,0,18,0,0,0,0
camel,multilayer_perceptron,478,0,18,4,0,0.8,0
camel,ib_k,475,0,18,7,0,1.5,0
chromium,naive_bayes,21001,33,78,1331,29.7,6,45.2
chromium,logistic_regression,22299,11,100,33,9.9,0.1,18
chromium,ib_k,22285,7,104,47,6.3,0.2,11.9
chromium,multilayer_perceptron,22320,2,109,12,1.8,0.1,3.5
chromium,random_forest,22330,1,110,2,0.9,0,1.8
derby,naive_bayes,434,22,20,24,52.4,5.2,67.5
derby,multilayer_perceptron,448,17,25,10,40.5,2.2,57.3
derby,logistic_regression,425,15,27,33,35.7,7.2,51.6
derby,ib_k,444,14,28,14,33.3,3.1,49.6
derby,random_forest,455,9,33,3,21.4,0.7,35.3
wicket,multilayer_perceptron,493,0,6,1,0,0.2,0
wicket,logistic_regression,485,0,6,9,0,1.8,0
wicket,naive_bayes,462,0,6,32,0,6.5,0
wicket,ib_k,494,0,6,0,0,0,0
wicket,random_forest,494,0,6,0,0,0,0
,,,,,median,6.3,1.6,11.9
,,,,,25,0,0.1,0
,,,,,75,28.6,6,43.3
