test,learner,tn,tp,fn,fp,pd,pf,g-measure
ambari,logistic_regression,437,3,4,56,42.9,11.4,57.8
ambari,naive_bayes,362,4,3,131,57.1,26.6,64.3
ambari,multilayer_perceptron,470,1,6,23,14.3,4.7,24.8
ambari,random_forest,475,1,6,18,14.3,3.7,24.9
ambari,ib_k,477,0,7,16,0,3.2,0
camel,logistic_regression,328,4,14,154,22.2,32,33.5
camel,naive_bayes,258,9,9,224,50,46.5,51.7
camel,random_forest,452,1,17,30,5.6,6.2,10.5
camel,multilayer_perceptron,385,5,13,97,27.8,20.1,41.2
camel,ib_k,454,0,18,28,0,5.8,0
chromium,naive_bayes,16952,58,53,5380,52.3,24.1,61.9
chromium,logistic_regression,20005,61,50,2327,55,10.4,68.1
chromium,ib_k,21859,19,92,473,17.1,2.1,29.1
chromium,multilayer_perceptron,21437,23,88,895,20.7,4,34.1
chromium,random_forest,22147,30,81,185,27,0.8,42.5
derby,naive_bayes,381,22,20,77,52.4,16.8,64.3
derby,multilayer_perceptron,429,18,24,29,42.9,6.3,58.8
derby,logistic_regression,404,24,18,54,57.1,11.8,69.4
derby,ib_k,432,12,30,26,28.6,5.7,43.9
derby,random_forest,444,15,27,14,35.7,3.1,52.2
wicket,multilayer_perceptron,491,0,6,3,0,0.6,0
wicket,logistic_regression,416,1,5,78,16.7,15.8,27.8
wicket,naive_bayes,363,1,5,131,16.7,26.5,27.2
wicket,ib_k,494,0,6,0,0,0,0
wicket,random_forest,493,0,6,1,0,0.2,0
,,,,,median,22.2,6.2,34.1
,,,,,25,14.3,3.2,24.8
,,,,,75,42.9,16.8,57.8
